TIME,GEO,Agriculture,Mining,Manufacturing,Energyprod,Water,Construction,Other
2008,Austria,459.096,677.937,13037.831,548.962,2049.187,31389.803,7611.775
2010,Austria,549.833,269.151,2951.45,441.611,2953.855,9008.721,17313.031
2012,Austria,179.044,51.339,3632.679,621.68,1172.356,19470.934,7308.855
2006,Belgium,361.386,159.059,15293.364,1285.396,13568.472,13055.636,14510.156
2008,Belgium,287.656,503.487,10044.065,1086.721,11082.457,15318.031,9415.29
2010,Belgium,231.033,1701.225,14520.776,1210.222,14133.101,17827.952,11375.339
2012,Belgium,212.369,113.012,17543.344,1314.161,12100.366,23936.513,10710.071
2006,Czech Republic,315.489,471.47,5830.96,2493.774,2111.503,8242,4965.256
2008,Czech Republic,254.485,166.924,5217.918,1919.392,2420.009,10622.885,4590.191
2010,Czech Republic,113.61,114.572,4184.445,1540.194,3102.047,9315.976,5091.281
2012,Czech Republic,195.94,167.422,4344.67,1062.31,3437.278,8585.23,5026.518
2010,Denmark,161.495,21.13,1523.162,940.119,2955.747,3122.188,7003.766
2012,Denmark,140.86,17.725,1594.788,887.308,2412.835,3856.141,6912.131
2006,Finland,2038.408,21500.896,17937.26,1635.834,2055.044,23145.712,3483.654
2008,Finland,2738.973,31796.383,16947.822,1531.198,578.255,24455.231,3215.828
2010,Finland,2772.031,54851,15198.831,1440.066,1630.146,24644.547,3116.87
2012,Finland,3157.813,52880,14529.726,1004.779,907.103,16033.524,3018.191
2006,France,1221.94,1040.4,22969.726,1031.33,6116.16,225310.888,50990.71
2008,France,1312.89,1195.22,21634.53,1001.86,9158.93,252979.84,53568.27
2010,France,1371.625,1053.012,21557.388,992.623,8773.349,260699.131,54441.259
2012,France,1290.136,2477.408,21404.505,2100.102,12792.788,246702.428,52107.742
2006,Germany,1515.272,47222.2,31198.572,8426.996,17706.741,196536.142,49998.364
2008,Germany,1350.758,28280.661,51832.142,11693.104,23685.83,197206.5,45845.278
2010,Germany,256.272,24493.073,48685.389,9070.218,21360.235,190990.217,54717.595
2012,Germany,647.806,8606.328,56074.259,7982.472,28947.67,197442.46,51925.535
2008,Greece,0,38151.604,5681.359,11180.698,1030.308,6828.051,5750.596
2010,Greece,5.073,44793.197,4913.165,11028.582,841.101,2086.08,6610.812
2012,Greece,9.979,47831.627,4149.033,12258.683,642.061,812.519,6371.031
2008,Hungary,336.865,272.49,3729.789,3050.215,1170.742,3237.554,4985.087
2010,Hungary,487.655,86.587,3130.982,2718.233,1221.053,4070.346,4872.859
2012,Hungary,459.995,91.218,2989.003,2871.522,1203.058,4021.881,4445.639
2010,Iceland,72.071,0.065,88.199,1.625,8.229,12.289,324.572
2012,Iceland,82.097,0.055,93.097,1.675,7.902,10.82,333.705
2008,Ireland,19.376,2061.231,4017.813,291.726,172.513,13547.588,3154.735
2010,Ireland,101.143,2195.671,3257.311,333.651,2904.775,1609.762,8904.123
2012,Ireland,96.251,2024.984,4598.353,395.95,901.44,365.615,4548.087
2006,Italy,554.325,1004.815,39662.105,2950.073,12550.03,52301.79,38123.69
2008,Italy,341.029,1254.807,42566.721,3066.731,12760.736,69705.071,38731.678
2010,Italy,301.742,700.47,35753.376,2654.693,11655.66,59238.229,38352.927
2012,Italy,317.523,718.441,34030.547,3575.44,22813.046,52945.338,34828.468
1990,Japan,77451,34000,150388,6972,48010,71139
1995,Japan,73404,27717,130911,8101,69535,75201
2000,Japan,90828,16751,123639,7451,84053,79011
2001,Japan,90459,13772,122881,6970,86175,76151
2002,Japan,90161,122551,73510
2003,Japan,90602,135090,75006
2004,Japan,89300.288,137422.436,79055.466
2005,Japan,87583.6,141627.9,76466
2006,Japan,87944.727,13947,137336.702,10359,86721,77534
2007,Japan,87837.1,12509,141614.3,8949,86861,77253
2008,Japan,87991.745,12865.634,124898.569,10572.7,124899.129
2009,Japan,88445.974,13865.161,11150.6,113205.095
2010,Japan,85108.659,11577.487,10824.9,115812.62
2010,Korea,152,44,34502,8917,5325,65041,19757
2011,Korea,149,128,36533,8088,6179,68091,17832
2012,Korea,279,88,39499,7836,7155,68188,18271
2006,Luxembourg,6.048,55.152,599.863,1.403,483.103,6774.547,437.308
2008,Luxembourg,2.486,8.935,672.796,1.393,152.124,8282.029,460.469
2010,Luxembourg,2.547,12.892,867.41,2.057,181.044,8866.757,468.116
2012,Luxembourg,1.381,129.481,509.431,2.335,169.493,7079.473,471.861
2006,Netherlands,2659.361,216.408,15527.579,1372.24,4787.126,56161.593,15238.438
2008,Netherlands,3468.171,269.042,15682.803,1430.696,5103.973,58593.652,15312.959
2010,Netherlands,4978.026,184.387,14059.105,1274.587,4984.137,77837.771,14730.341
2012,Netherlands,4946.295,179.164,14090.357,1342.081,6076.751,81128.809,14437.412
2006,Norway,172.417,125.146,3605.398,45.285,777.476,1252.051,3913.16
2008,Norway,184.332,113.389,3689.06,46.328,670.759,1498.376,4084.399
2010,Norway,195.252,365.756,2687.22,28.265,839.103,1542.803,3774.598
2012,Norway,150.002,470.295,2639.16,88.581,386.366,1880.543,5105.926
2006,Poland,1521.333,38659.346,60859.451,22370.701,3239.107,14130.811,11494.058
2008,Poland,1350.113,33658.883,56392.6,19537.107,5493.47,6909.552,12781.372
2010,Poland,1543.029,61540.456,28559.379,20250.394,9114.425,20807.156,12979.372
2012,Poland,1952.704,68026.514,30997.723,20700.031,6603.287,15360.156,14086.349
2006,Portugal,213.722,3563.41,10872.2,462.248,802.031,3606.727,15007.967
2008,Portugal,74.76,182.149,3566.592,193.39,2299.072,1364.28,9109.04
2010,Portugal,138.264,267.508,3425.057,326.365,2756.66,1779.854,8453.07
2012,Portugal,83.353,242.572,3155.049,421.782,2499.376,927.155,6497.777
2006,Slovak Republic,741.625,331.829,5408.428,1572.314,348.38,915.962,5047.355
2008,Slovak Republic,788.762,150.86,4420.229,1148.621,689.248,1301.714,2806.467
2010,Slovak Republic,525.59,165.584,2663.08,877.646,727.308,1786.109,2615.185
2012,Slovak Republic,549.391,310.465,2509.708,1045.75,613.891,806.176,2512.35
2006,Spain,15152.386,26014.615,21946.741,6989.152,2844.459,47320.176,39683.618
2008,Spain,11325.634,25716.297,18854.476,4872.071,5019.255,44923.41,37442.198
2010,Spain,5814.784,31732.303,16360.703,2339.018,3729.671,37942.41,33520.069
2012,Spain,5494.798,22509.144,14473.359,5768.902,6380.002,26128.797,30301.593
2006,Sweden,314.317,62084.293,12658.218,1317.821,2200.081,8943.363,6177.668
2008,Sweden,314.314,58701.928,11835.654,1507.404,2174.43,3190.326,6146.547
2010,Sweden,308.946,89026.207,7807.96,1477.887,1884.401,9381.226,6480.977
2012,Sweden,273.071,129480.919,6151.726,1848.83,2471.569,7655.935,6768.455
2006,United Kingdom,666.485,31782.794,27581.549,6872.788,26303.284,109545.987,83612.826
2008,United Kingdom,681.31,34057.625,22354.065,4863.912,29392.29,99064.315,84187.332
2010,United Kingdom,495.368,24774.792,12291.674,3345.113,16957.889,102118.676,72403.174
2012,United Kingdom,672.029,24043.964,13574.401,4964.784,21181.77,100221.748,70497.797
2000,Chile,1128,510,1484.588,281.176,17.294,2565.66,4520.3
2001,Chile,1150.485,525.458,1506,187.137,32.971,2627.717,4514.7
2002,Chile,1308.168,507.93,1516,205.842,35.793,2274.337,4647.1
2003,Chile,1418.4,543.383,1595.245,202.297,56.464,2649.353,4802.3
2004,Chile,1515.326,599.838,1746.176,280.406,61.924,2932.809,4964.1
2005,Chile,1393.32,589.49,1797.17,263.821,64.079,2945.474,5113.7
2006,Chile,1367.133,594.144,1823.072,360.974,72.325,3389.464,5310.9
2007,Chile,1469.657,617.103,2042.017,448.228,73.41,3513.492,5492.9
2008,Chile,1434.942,590.285,1789.795,466.135,74.412,3443.807,5608
2009,Chile,1562.458,630.81,1816.234,477.023,82.028,3062.395,5779.5
2012,Colombia,1.9,140,54.6,1.1
2006,Estonia,118.829,5960.972,3979.458,5706.681,268.639,716.96,2166.779
2008,Estonia,239.843,7197.787,3765.962,5423.858,374.272,1098.924,1444.591
2010,Estonia,109.867,6452.793,3715.5,6534.457,251.677,436.281,1464.128
2012,Estonia,77.295,9354.964,4120.509,6257.826,537.467,654.786,845.495
2006,Latvia,96.126,565.017,25.838,52.85,19.339,1094.151
2008,Latvia,74.66,2.585,497.145,20.151,92.94,12.04,791.005
2010,Latvia,68.024,0.786,372.469,24.654,119.565,21.551,887.083
2012,Latvia,2.767,1.745,393.873,132.507,284.291,7.509,1475.997
2006,Lithuania,874.219,5.514,2739.893,34.022,360.743,348.968,1991.896
2008,Lithuania,786.069,3.367,2757.736,50.645,272.688,412.045,2046.115
2010,Lithuania,455.856,6.838,2646.824,36.314,235.486,356.772,1804.527
2012,Lithuania,481.696,25.911,2548.73,29.005,160.696,419.067,1794.408
2006,Slovenia,214.335,376.93,2357.116,496.642,38.265,994.886,1509.008
2008,Slovenia,132.159,54.519,1701.939,353.639,110.172,1376.225,1260.609
2010,Slovenia,141.285,11.797,1511.895,1388.08,89.827,1509.466,1317.231
2012,Slovenia,164.761,14.448,1341.354,1069.074,162.758,535.093,1178.208
